ID; Aktywny (0/1); Nazwa; Kategoria (x,y,z...);Cena zawiera podatek. (brutto); ID reguły podatku; W sprzedaży (0 lub 1); Widoczność (0/1); Ilość; Opis; Podsumowanie; Adresy URL zdjęcia (x,y,z...); Kod dostawcy;
210; 1; Kurs Node.js - dynamiczne aplikacje; Node.js; 79; 1; 1; 1; 500; Poznaj technologię, która sprawiła, że JavaScript stał się najważniejszym językiem Internetu; Poznaj technologię, która sprawiła, że JavaScript stał się najważniejszym językiem Internetu; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Node-js-dynamiczne-aplikacje.jpg; 1,2; 0
211; 1; Kurs Python - średniozaawansowany; Python; 119; 1; 1; 1; 500; Rozwiń swoje umiejętności programowania w języku Python. Naucz się pisać zaawansowane skrypty i wykorzystaj obiektowość do tworzenia interaktywnych aplikacji okienkowych.; Rozwiń swoje umiejętności programowania w języku Python. Naucz się pisać zaawansowane skrypty i wykorzystaj obiektowość do tworzenia interaktywnych aplikacji okienkowych.; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/python_sredniozaawansowany.jpg; 1,2; 0
212; 1; Fundamenty programowania w języku Python; Python; 119; 1; 1; 1; 500; Kompletne wprowadzenie do programowania w jednym z najpopularniejszych języków; Kompletne wprowadzenie do programowania w jednym z najpopularniejszych języków; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_python_od_podstaw.jpg; 1,2; 0
213; 1; Fundamenty programowania; Python, Csharp, PHP; 79; 1; 1; 1; 500; Jak łatwo opanować sztukę programowania; Jak łatwo opanować sztukę programowania; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Fundamenty-programowania.jpg; 1,2; 0
214; 1; Kurs Django Framework; Python; 60; 1; 1; 1; 500; Naucz się tworzyć kompletne webowe aplikacje za pomocą nowoczesnego frameworku Django; Naucz się tworzyć kompletne webowe aplikacje za pomocą nowoczesnego frameworku Django; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Django-Framework.jpg; 1,2; 0
215; 1; Szkoła programowania w języku C; C; 90; 1; 1; 1; 500; Poznaj kluczowe zasady programowania i rozwijaj swoją wiedzę w dowolnym kierunku; Poznaj kluczowe zasady programowania i rozwijaj swoją wiedzę w dowolnym kierunku; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Szkola-programowania-w-jezyku-C.jpg; 1,2; 0
216; 1; Kurs Arduino - od podstaw; C; 99; 1; 1; 1; 500; Kurs Arduino - świat mechaniki, elektroniki i programowania; Kurs Arduino - świat mechaniki, elektroniki i programowania; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Arduino-od-podstaw.jpg; 1,2; 0
217; 1; Kurs Foundation - tworzenie responsywnych stron; Foundation; 69; 1; 1; 1; 500; Twórz sprawniej wspaniałe responsywne strony i wyprzedź innych developerów; Twórz sprawniej wspaniałe responsywne strony i wyprzedź innych developerów; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Kurs-Foundation-tworzenie-responsywnych-stron.jpg; 1,2; 0
218; 1; Produktywne tworzenie stron z LESS & SASS; SASS, jQuery; 89; 1; 1; 1; 500; Twórz wspaniałe strony internetowe przy mniejszym nakładzie pracy; Twórz wspaniałe strony internetowe przy mniejszym nakładzie pracy; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/Produktywne-tworzenie-stron-z-LESS-SASS.jpg; 1,2; 0
219; 1; Kurs Bash - skrypty i automatyzacja; Linux, Ubuntu; 89; 1; 1; 1; 500; Naucz się programować w bash i wykorzystaj tę wiedzę do automatyzacji zadań w systemach Linux  i Windows; Naucz się programować w bash i wykorzystaj tę wiedzę do automatyzacji zadań w systemach Linux  i Windows; https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_bash.jpg; 1,2; 0
